Domain_Code,Domain,Area_Code_M49,Area,Element_Code,Element,Item_Code_CPC,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note,Value_winsor,YoY_Return,Log_Return,Value_lag1,Value_lag2,Value_lag3,Vol_3y,Vol_5y
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2001,2001,ha,7230.0,X,Figure from international organizations,Unofficial figure,7230.0,-0.7480836236933798,-1.378658086594902,28700.0,3761.5,7630.0,4.191842874802607,4.191842874802607
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2001,2001,kg/ha,3914.2,X,Figure from international organizations,No additional notes,3914.2,-0.4586168741355464,-0.6136280698819417,7230.0,28700.0,3761.5,4.17864638405367,3.602811158989888
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2001,2001,t,28300.0,X,Figure from international organizations,Unofficial figure,28300.0,6.230085330335701,1.9782508383604602,3914.2,7230.0,28700.0,3.94793976081562,3.8389120557406127
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2002,2002,ha,7500.0,X,Figure from international organizations,Unofficial figure,7500.0,-0.734982332155477,-1.3279587841069271,28300.0,3914.2,7230.0,3.9439253413649826,3.880661636856458
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2002,2002,kg/ha,3826.7,X,Figure from international organizations,No additional notes,3826.7,-0.4897733333333334,-0.6729002075554993,7500.0,28300.0,3914.2,3.9524000188887642,3.060967249312928
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2002,2002,t,28700.0,X,Figure from international organizations,Unofficial figure,28700.0,6.499934669558628,2.0148943097788097,3826.7,7500.0,28300.0,4.108125473588634,3.7963086114462405
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2003,2003,ha,6380.0,A,Official figure,No additional notes,6380.0,-0.7777003484320557,-1.5037290254088767,28700.0,3826.7,7500.0,4.121142466735808,3.8546038348882186
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2003,2003,kg/ha,4404.4,A,Official figure,No additional notes,4404.4,-0.30965517241379314,-0.3705640560993996,6380.0,28700.0,3826.7,4.073359619891427,3.1710549785355706
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2003,2003,t,28100.0,A,Official figure,No additional notes,28100.0,5.379983652710926,1.8531655350824012,4404.4,6380.0,28700.0,3.4280249052258642,3.5673681728624063
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2004,2004,ha,6480.0,A,Official figure,No additional notes,6480.0,-0.7693950177935943,-1.4670490659755169,28100.0,4404.4,6380.0,3.4253517755857903,3.619159749837194
